Modded Block,Vanilla Block
dramaticdoors:tall_bop_hellbark_door,crimson_door
adorn:stone_ladder,ladder
fantasyfurniture:venthyr/chair,birch_wood
fantasyfurniture:venthyr/sofa,bookshelf
chipped:polished_basalt,polished_basalt
quark:polished_jasper_stairs,polished_granite_stairs
chipped:tuff_bricks,tuff_bricks
quark:jasper_slab,crimson_slab
chipped:andesite_bricks,andesite
create:andesite_ladder,andesite_stairs
create:copper_door,copper_door
dawnoftimebuilder:iron_portcullis,iron_trapdoor
dawnoftimebuilder:limestone_sided_column,bubble_column
dawnoftimebuilder:limestone_bricks_stairs,stone_brick_stairs
dawnoftimebuilder:limestone_bricks_slab,brick_slab
dawnoftimebuilder:geranium_pink,pink_petals
dawnoftimebuilder:stone_bricks_small_pool,stone_bricks
dawnoftimebuilder:limestone_bricks_edge,stone_bricks
dawnoftimebuilder:waxed_oak_chandelier,oak_wood
dawnoftimebuilder:limestone_bricks_plate,stone_brick_slab
dawnoftimebuilder:limestone_gargoyle,granite
dawnoftimebuilder:stone_bricks_edge,stone_bricks
create:brown_toolbox,brown_shulker_box
dawnoftimebuilder:waxed_oak_chair,oak_wood
dawnoftimebuilder:spruce_pergola,spruce_wood
dawnoftimebuilder:waxed_oak_trapdoor,oak_trapdoor
dawnoftimebuilder:dark_oak_planks_plate,dark_oak_planks
create:schematicannon,scaffolding
dawnoftimebuilder:roofing_slates_slab,stone_slab
dawnoftimebuilder:roofing_slates_stairs,sandstone_stairs
dawnoftimebuilder:dark_oak_lattice,dark_oak_wood
dawnoftimebuilder:roofing_slates_edge,birch_planks
mtr:station_name_entrance,jungle_door
mtr:route_sign_standing_metal,warped_wall_hanging_sign
londonunderground:station_light,light
mtr:ticket_machine,lever
mtr:rubbish_bin_1,dispenser
mtr:ticket_barrier_entrance_1,barrier
mtr:ticket_barrier_exit_1,barrier
mtr:glass_fence_plain,glass
mtr:railway_sign_4_odd,warped_wall_sign
mtr:railway_sign_middle,jungle_wall_sign
mtr:railway_sign_7_odd,warped_wall_sign
mtr:ticket_processor_enquiry,powered_rail
mtr:arrival_projector_1_large,large_fern
mtr:route_sign_wall_metal,pale_oak_wall_sign
mtr:railway_sign_2_odd,warped_wall_sign
mtr:railway_sign_6_odd,warped_wall_sign
mtr:railway_sign_5_odd,warped_wall_sign
mtr:pids_2,piston
mtr:platform_na_1_indented,jungle_planks
mtr:rail,rail
vs_eureka:white_balloon,white_candle
mtr:platform_na_1,jungle_planks
mtr:escalator_step,jungle_stairs
mtr:lift_door_odd_1,spruce_door
mtr:lift_panel_odd_2,light_weighted_pressure_plate
extendedslabs:white_concrete_corner,white_concrete
extendedslabs:vertical_black_stained_glass_slab,black_stained_glass
mtr:platform_na_2,jungle_planks
biomesoplenty:high_grass_plant,tall_grass
biomesoplenty:high_grass,tall_grass
farmersdelight:sandy_shrub,sand
railways:track_monorail,rail
chipped:inlayed_glowstone,glowstone
everycomp:ch/biomesoplenty/windowed_hellbark_trapdoor,birch_trapdoor
farmersdelight:wild_rice,potted_bamboo
chipped:rich_hay_block,grass_block
vs_eureka:red_balloon,red_mushroom
vs_eureka:engine,piston
vs_eureka:oak_ship_helm,oak_wood
more_foliage:grass_2,short_grass
more_foliage:grass_1,short_grass
bloomingnature:white_orchid,white_tulip
cnc:chupacabra_head,dragon_wall_head
cnc:whitetail_head,piglin_wall_head
cnc:wendigo_head,dragon_wall_head
cnc:giant_boar_head,piglin_wall_head
iceandfire:lectern,lectern
bloomingnature:potted_bluebell,potted_blue_orchid
bloomingnature:potted_foxglove_white,potted_white_tulip
iceandfire:pixie_house_mushroom_red,red_mushroom
iceandfire:pixie_house_spruce,spruce_stairs
bloomingnature:genisteae,vine
iceandfire:pixie_house_oak,oak_stairs
bloomingnature:bluebell,blue_orchid
create:spruce_window,spruce_door
sworddisplay:golden_sword_display,gold_block
quark:stripped_crimson_post,stripped_crimson_stem
iceandfire:gold_pile,gold_block
mcwwindows:white_mosaic_glass_pane,white_stained_glass_pane
mcwwindows:black_mosaic_glass,black_stained_glass
mcwwindows:dark_oak_window2,dark_oak_door
mcwwindows:black_mosaic_glass_pane,black_stained_glass_pane
vampirism:weapon_table,crafting_table
biomesoplenty:maple_leaves,spruce_leaves
conquest:fancy_marble_balustrade,prismarine_brick_slab
conquest:tall_ornate_roman_door,pale_oak_door
conquest:roman_chair,purpur_pillar
conquest:marble_brick_vertical_slab,brick_slab
conquest:marble_brick_pillar,quartz_pillar
biomesoplenty:sprout,nether_sprouts
conquest:fancy_chair,enchanting_table
conquest:spruce_wood_table,spruce_wood
conquest:goblet,glass
corail_pillar:pillar_gold_block,gold_block
conquest:oak_wood_desk,oak_wood
conquest:ornate_roman_door,pale_oak_door
betteranimalsplus:feralwolfhead_brown,brown_wool
betteranimalsplus:blackbearhead_black,black_concrete
mcwdoors:oak_barn_door,oak_door
byg:rocky_stone,stone
byg:skyris_vine,vine
byg:green_apple_fruit_block,jigsaw
byg:skyris_leaves,jungle_leaves
byg:flowering_skyris_leaves,acacia_leaves
byg:green_apple_skyris_leaves,cherry_leaves
byg:podzol_dacite,podzol
byg:skyris_log,acacia_log
byg:dacite_bricks,bricks
byg:dacite_cobblestone_wall,cobblestone_wall
byg:skyris_trapdoor,cherry_trapdoor
byg:dacite,calcite
byg:dacite_cobblestone,cobblestone
byg:stripped_skyris_log,stripped_acacia_log
byg:skyris_planks,acacia_planks
byg:dacite_stairs,diorite_stairs
byg:skyris_bookshelf,bookshelf
byg:skyris_slab,sandstone_slab
byg:overgrown_dacite,calcite
byg:dacite_tile,deepslate_tiles
byg:skyris_stairs,prismarine_stairs
byg:skyris_door,acacia_door
byg:dacite_tile_slab,deepslate_tile_slab
byg:skyris_pressure_plate,acacia_pressure_plate
byg:dacite_slab,sandstone_slab
create:polished_cut_asurine_stairs,polished_andesite_stairs
create:layered_asurine,andesite_slab
dawnoftimebuilder:straight_raked_gravel,gravel
biomesoplenty:palm_slab,stone_slab
biomesoplenty:palm_stairs,bamboo_stairs
mcwbridges:acacia_bridge_pier,acacia_planks
create:fluid_tank,water_cauldron
create:mechanical_pump,piston
create:fluid_pipe,water_cauldron
create:large_cogwheel,cobweb
friendsandfoes:cherry_beehive,beehive
chipped:flat_cobblestone_tiles,cobblestone
butchercraft:meat_hook,tripwire_hook
alexscaves:amber,emerald_ore
torchmaster:megatorch,magenta_terracotta
alexscaves:ambersol,dark_prismarine
rechiseled:cobbled_deepslate_pillar_connecting,cobbled_deepslate_slab
create_new_age:stirling_engine,piston
create_new_age:heat_pipe,furnace
create_new_age:basic_solar_heating_plate,birch_pressure_plate
create:mechanical_piston,piston
biomesoplenty:jacaranda_button,acacia_button
dynamiclights:lit_air,air
farmersdelight:jungle_cabinet,jungle_door
butchersdelight:hookedpig,tripwire_hook
butchersdelight:hookedcow,tripwire_hook
butchersdelight:deadpigblock,dead_bush
butchersdelight:hook,tripwire_hook
cfm:spruce_crate,spruce_wood
tfmg:steel_block,iron_block
framedblocks:framed_floor_board,jungle_planks
framedblocks:framed_trapdoor,pale_oak_trapdoor
interiors:red_chair,red_carpet
framedblocks:framed_button,spruce_button
tfmg:large_radial_engine,piston
tfmg:radial_engine_input,piston
framedblocks:framed_stairs,spruce_stairs
another_furniture:red_curtain,red_carpet
framedblocks:framed_wall_sign,pale_oak_wall_sign
chipped:clear_leaded_glass,glass
createcasing:industrial_iron_gearbox,iron_ore
create:encased_fan,bubble_coral_wall_fan
framedblocks:framed_iron_door,iron_door
framedblocks:framed_flat_stacked_slope_slab_corner,warped_slab
framedblocks:framed_elevated_slope_slab,stone_slab
framedblocks:framed_slope_slab,stone_slab
cfm:stripped_oak_upgraded_fence,oak_fence
cfm:birch_park_bench,birch_wood
????,water_cauldron
?????????? ????????? ??????,water_cauldron
????????? ?????????,water_cauldron
???????? ?????????,water_cauldron
????????? ?????,water_cauldron
?????,water_cauldron
mysticsbiomes:jacaranda_leaves,jungle_leaves
mysticalagriculture:deepslate_inferium_ore,deepslate_iron_ore
mysticalagriculture:prosperity_ore,gold_ore
scalinghealth:heart_crystal_ore,gold_ore
????????? ??????,water_cauldron
handcrafted:red_cushion,red_concrete
handcrafted:pink_cushion,pink_concrete
handcrafted:cherry_table,cherry_wood
supplementaries:candle_holder_white,white_candle
handcrafted:mangrove_counter,mangrove_fence
biomesoplenty:orange_cosmos,orange_bed
biomesoplenty:goldenrod,gold_ore
productivebees:oak_wood_nest,oak_wood
quark:cobblestone_bricks_stairs,cobblestone_stairs
structure_gel:dynamic_spawner,trial_spawner
create:clutch,piston
vs_eureka:black_balloon,black_candle
vs_eureka:gray_balloon,gray_candle
vs_eureka:dark_oak_ship_helm,dark_oak_wood
????????? ????????,water_cauldron   
biomesoplenty:barley,wheat
biomesoplenty:potted_pink_cherry_sapling,potted_cherry_sapling
biomesoplenty:smooth_white_sandstone,smooth_sandstone
biomesoplenty:rose,rose_bush
biomesoplenty:tall_lavender,tall_grass
createbigcannons:cast_iron_cannon_barrel,barrel
createbigcannons:cast_iron_cannon_chamber,iron_block
createbigcannons:cannon_mount,ladder
createbigcannons:cast_iron_cannon_end,end_stone_bricks
twilightforest:wrought_iron_fence,crimson_fence
chipped:trodden_dirt,dirt
chipped:dead_oak_leaves,oak_leaves
chipped:sanded_tuff,chiseled_tuff
chipped:rounded_tuff_bricks,tuff_bricks
chipped:layed_tuff_bricks,tuff_bricks
chipped:chained_iron_bars,iron_bars
chipped:burning_coal_lantern,lantern
chipped:reinforced_oak_crate,oak_wood
chipped:oak_barrel,barrel
chipped:reinforced_jungle_crate,jungle_planks
chipped:copper_barrel,barrel
chipped:reinforced_acacia_crate,acacia_wood
chipped:oak_crate,oak_wood
framedblocks:framed_slab,stone_slab
create:polished_cut_deepslate_slab,polished_deepslate_slab
chipped:eroded_tuff,polished_tuff
create:metal_girder,scaffolding
create:polished_cut_deepslate_stairs,polished_deepslate_stairs
create:cut_deepslate_stairs,cobbled_deepslate_stairs
chipped:cracked_dripstone_block_bricks,dripstone_block
framedblocks:framed_corner_pillar,quartz_pillar
chipped:dripstone_block_bricks,dripstone_block
chipped:layed_dripstone_block_bricks,dripstone_block
chipped:rounded_dripstone_block_bricks,dripstone_block
framedblocks:framed_half_stairs,spruce_stairs
chipped:cracked_disordered_dripstone_block_bricks,dripstone_block
create:jungle_window_pane,glass_pane
chipped:trodden_dripstone_block,dripstone_block
chipped:sanded_dripstone_block,dripstone_block
create:cut_deepslate_slab,deepslate_tile_slab
chipped:offset_dripstone_block_bricks,dripstone_block
create:belt,chain
chipped:spruce_crate,spruce_wood
create:andesite_belt_funnel,andesite
framedblocks:framed_double_slab,stone_slab
create:item_drain,water_cauldron
create:deployer,dropper
storagedrawers:dark_oak_full_drawers_1,dark_oak_wood
create:andesite_funnel,andesite
create:encased_chain_drive,chain
storagedrawers:spruce_full_drawers_1,spruce_wood
storagedrawers:spruce_full_drawers_2,spruce_wood
storagedrawers:oak_full_drawers_1,oak_wood
create:brass_belt_funnel,lever
create:andesite_encased_cogwheel,andesite
chipped:small_bricks_bricks,bricks
chipped:rounded_borderless_bricks_bricks,bricks
chipped:eroded_bricks,bricks
chipped:cracked_disordered_bricks_bricks,cracked_stone_bricks
create:industrial_iron_block,iron_block
create:rotation_speed_controller,warped_button
chipped:etched_bricks_bricks,bricks
framedblocks:framed_wall,sandstone_wall
chipped:bricks_bricks,bricks
create:blaze_burner,fire
chipped:pointless_dark_oak_trapdoor,dark_oak_trapdoor
create:basin,water_cauldron
create:water_wheel,water_cauldron
create:mechanical_mixer,piston
create:mechanical_press,piston
chipped:rounded_bricks_bricks,bricks
create:crushing_wheel,grindstone
create:crushing_wheel_controller,warped_button
create:brass_funnel,piston_head
storagedrawers:jungle_full_drawers_1,jungle_door
mcwbridges:iron_bridge_pier,iron_bars
create:spout,spore_blossom
create:encased_fluid_pipe,water_cauldron
mcwdoors:oak_glass_door,oak_door
enhancedfarming:apple_leaves,cherry_leaves
byg:palm_leaves,jungle_leaves
cfm:jungle_upgraded_fence,jungle_fence
cfm:jungle_upgraded_gate,jungle_fence_gate
cfm:stripped_birch_upgraded_fence,birch_fence
iceandfire:podium_spruce,spruce_stairs
iceandfire:copper_pile,copper_block
create:fake_track,suspicious_gravel
create:track,rail
moa_decor_lights:farolpared_d,deepslate
create:track_station,rail
create:track_signal,detector_rail
create:nixie_tube,tube_coral
create:polished_cut_diorite,polished_diorite
morevillagers:gardening_table,crafting_table
create:display_link,bookshelf
additionallanterns:normal_lantern,lantern
mcwroofs:light_gray_roof,light_gray_concrete
glassential:glass_ethereal,glass
create:brass_encased_cogwheel,cobweb
create:display_board,bookshelf
create:train_trapdoor,iron_trapdoor
msd:rigid_catenary_node,hanging_roots
mtr:station_color_andesite,andesite
msd:catenary_pole,powered_rail
msd:catenary_node,netherite_block
msd:catenary_rack_2,rail
msd:catenary_rack_side,rail
mtr:ticket_processor,powered_rail
mtr:route_sign_standing_light,light
msd:hall_seat_side_mirror,glass_pane
msd:hall_seat_side,purpur_stairs
msd:hall_seat_middle,purple_carpet
mtr:signal_pole,beacon
jsblock:pids_rv_sil,red_carpet
jsblock:pids_rv,dispenser
securitycraft:keypad_barrel,barrel
pcs:monitor_keyboard,oak_button
jsblock:station_name_tall_stand,brewing_stand
pfm:basic_lamp,redstone_lamp
securitycraft:reinforced_yellow_terracotta,yellow_terracotta
moreblocks:white_concrete_button,white_concrete
biomesoplenty:dead_button,jungle_button
pixelmon:green_berry_wood_fence,spruce_fence
pixelmon:green_berry_wood_trapdoor,spruce_trapdoor
pixelmon:green_berry_wood_button,spruce_button
pixelmon:green_berry_wood_slab,granite_slab
pixelmon:green_pc,green_carpet
pixelmon:berry_plant_oran,sweet_berry_bush
pixelmon:green_couch,green_bed
pixelmon:lime_rug,lime_carpet
pixelmon:green_trade_machine,green_terracotta
pixelmon:green_clock,green_candle
pixelmon:end_table,crafting_table
pixelmon:green_chair,green_carpet
pixelmon:green_berry_wood_planks,cherry_planks
pixelmon:green_healer,green_concrete
pixelmon:darkworkplace,dark_prismarine
pixelmon:box,white_shulker_box
pixelmon:green_armchair,green_carpet
pixelmon:white_rug,white_carpet
mcwroofs:spruce_planks_upper_steep_roof,spruce_planks
mcwroofs:spruce_planks_roof,spruce_planks
mcwroofs:spruce_planks_upper_lower_roof,spruce_planks
atmospheric:rosewood_button,spruce_button
blue_skies:cherry_fence,cherry_fence
atmospheric:stripped_rosewood_log,stripped_spruce_log
blue_skies:cherry_trapdoor,cherry_trapdoor
atmospheric:rosewood_slab,stone_slab
atmospheric:rosewood_stairs,spruce_stairs
atmospheric:stripped_rosewood,stripped_spruce_wood
atmospheric:rosewood_boards,birch_planks
another_furniture:spruce_planter_box,potted_spruce_sapling
blue_skies:cherry_slab,cherry_slab
blue_skies:cherry_planks,cherry_planks
blue_skies:cherry_stairs,cherry_stairs
blue_skies:cherry_fence_gate,cherry_fence_gate
handcrafted:jungle_drawer_1,jungle_door
woodworks:jungle_bookshelf,bookshelf
blue_skies:frostbright_ladder,ladder
windswept:potted_pink_rose,potted_wither_rose
handcrafted:jungle_corner_trim,jungle_fence
handcrafted:stackable_book,bookshelf
another_furniture:jungle_shutter,jungle_button
windswept:chestnut_chest,chest
another_furniture:jungle_shelf,jungle_wood
hole_filler_mod:curing_block,dripstone_block
connectedglass:clear_glass_white,white_stained_glass
connectedglass:clear_glass_yellow,yellow_stained_glass
luphieclutteredmod:luphie_wedding_arch,prismarine_stairs
quark:azalea_leaf_carpet,azalea
luphieclutteredmod:luphie_hoppin_park_lantern,lantern
ecologics:azalea_log,azalea
ecologics:flowering_azalea_log,flowering_azalea
croptopia:soybean_crop,wheat
supplementaries:stone_tile_slab,stone_slab
diagonalwalls:supplementaries/stone_tile_wall,stone_brick_wall
diagonalfences:minecraft/cherry_fence,cherry_fence
supplementaries:sconce_wall_soul,soul_fire_wall_torch
chipped:reinforced_shroomlight,shroomlight
quark:black_corundum_pane,black_stained_glass_pane
quark:black_corundum_cluster,amethyst_cluster
mcwroofs:spruce_planks_steep_roof,spruce_planks
mcwwindows:spruce_plank_window,spruce_planks
cfm:spruce_desk,spruce_wood
create:cut_granite,granite
vs_eureka:floater,water
create:zinc_block,bone_block
create:exposed_copper_shingles,exposed_copper
vs_eureka:spruce_ship_helm,spruce_wood
automobility:slope,smooth_sandstone_stairs
automobility:steep_slope,mossy_cobblestone_stairs
moreblocks:black_concrete_slab,black_concrete
moreblocks:yellow_concrete_slab,yellow_concrete
mcwroofs:spruce_planks_cube_roof,spruce_planks
tconstruct:seared_heater,furnace
functionalstorage:oak_1,oak_wood
tconstruct:seared_melter,soul_fire_torch
create:brass_tunnel,copper_trapdoor
create:stockpile_switch,campfire
create:portable_storage_interface,bookshelf
create:hose_pulley,stripped_mangrove_log
create:smart_fluid_pipe,water_cauldron
mcwlights:glowstone_slab,glowstone
ironchest:obsidian_chest,obsidian
ad_astra:etrium_plateblock,crimson_pressure_plate
ad_astra:etrium_factory_block,oxidized_cut_copper
ad_astra:steel_plating,iron_block
ad_astra:etrium_panel,jungle_slab
ad_astra:energizer,fire
ad_astra:oxygen_loader,air
ad_astra:steel_cable,rail
ad_astra:white_industrial_lamp,white_candle
ad_astra:steel_block,iron_block
ironchest:crystal_chest,chest
alexscaves:depth_glass,glass
mekanism:bounding_block,note_block
ad_astra:steel_plating_stairs,polished_granite_stairs
mekanism:modification_station,sculk_catalyst
mekanism:basic_energy_cube,coal_block
ad_astra:solar_panel,daylight_detector
ad_astra:cable_duct,conduit
ad_astra:oxygen_distributor,air
mekanism:resistive_heater,furnace
ad_astra:ostrum_fluid_pipe,water_cauldron
mekanism:creative_fluid_tank,water_cauldron
ad_astra:airlock,air
ad_astra:vent,air
ad_astra:steel_sliding_door,iron_door
diagonalfences:fruitfulfun/citrus_fence,jungle_fence
fruitfulfun:citrus_fence_gate,jungle_fence_gate
newslabvariants:light_gray_terracotta_slab,light_gray_terracotta
fruitfulfun:citrus_stairs,jungle_stairs
fruitfulfun:citrus_log,jungle_log
fruitfulfun:citrus_slab,crimson_slab
fruitfulfun:citrus_planks,crimson_planks
stoneworks:granite_plates,granite
mcwwindows:oak_shutter,oak_wood
mcwwindows:oak_four_window,oak_door
mcwwindows:oak_window2,oak_door
handcrafted:spruce_nightstand,spruce_wood
domum_ornamentum:purple_floating_carpet,purple_carpet
handcrafted:spruce_side_table,spruce_wood
mcwlights:iron_low_candle_holder,candle
mcwlights:iron_candle_holder,candle
handcrafted:spruce_couch,spruce_wood
handcrafted:spruce_desk,spruce_wood
handcrafted:spruce_table,spruce_wood
mcwlights:purple_lamp,purple_candle
mcwlights:iron_triple_candle_holder,candle
handcrafted:spruce_cupboard,spruce_wood
cookingforblockheads:purple_kitchen_floor,purple_carpet
mcwlights:wall_lamp,soul_fire_wall_lantern
mcwlights:iron_wall_candle_holder,candle
mcwroofs:spruce_planks_attic_roof,spruce_planks
mcwlights:iron_chandelier,iron_block
mcwroofs:spruce_planks_top_roof,spruce_planks
cookingforblockheads:light_gray_oven,light_gray_candle
handcrafted:yellow_crockery_combo,yellow_candle
handcrafted:blue_bowl,blue_concrete
handcrafted:white_glazed_thin_pot,decorated_pot
luckytntmod:uranium_ore,gold_ore
luckytntmod:deepslate_uranium_ore,deepslate_iron_ore
luckytntmod:deepslate_gunpowder_ore,deepslate_iron_ore
luckytntmod:gunpowder_ore,iron_ore
create:asurine,prismarine
cfm:stripped_warped_mail_box,warped_door
cfm:stripped_warped_bedside_cabinet,warped_door
cfm:stripped_warped_coffee_table,stripped_warped_stem
cfm:stripped_warped_desk,stripped_warped_stem
cfm:stripped_birch_kitchen_sink_light,stripped_birch_wood
cfm:stripped_warped_kitchen_drawer,warped_door
cfm:stripped_warped_kitchen_sink_light,warped_stairs
moa_decor_lights:fcoroseta,target
valhelsia_furniture:white_oak_chair,pale_oak_wood
valhelsia_furniture:white_oak_table,pale_oak_wood
moa_decor_cookery:pasteldechocolate,purpur_slab
moa_decor_toys:gatojellie,lily_of_the_valley
cfm:stripped_birch_upgraded_gate,birch_fence_gate
nfm:gray_modern_kitchen_drawer,gray_carpet
nfm:white_modern_bedside_cabinet,white_bed
moa_decor_lights:la_escritorio_b,black_concrete
valhelsia_furniture:white_upholstered_spruce_stool,spruce_planks
rats:fish_barrel,barrel
moa_decor_science:telescopio,terracotta
moa_decor_cookery:tazonazucar,cactus
moa_decor_lights:farolpared_b,closed_eyeblossom
cfm:azalea_hedge,azalea
cfm:stripped_warped_desk_cabinet,warped_door
cfm:stripped_warped_park_bench,warped_fence
quark:jasper_bricks,bricks
quark:polished_jasper,polished_granite
quark:polished_jasper_slab,polished_granite_slab
rechiseled:netherite_block_bricks_connecting,nether_bricks
rechiseled:netherite_block_chiseled_connecting,netherite_block
byg:glowstone_lamp,glowstone
create:cut_deepslate_wall,cobbled_deepslate_wall
quark:jasper_bricks_stairs,brick_stairs
mcwfences:mangrove_hedge,mangrove_fence
ms:nature/silverbell_leaves,spruce_leaves
additional_lights:al_lamp_iron_block,iron_block
ms:nature/silverbell_log,spruce_log
moreblocks:white_concrete_slab,white_concrete
newfood:tomato,potatoes
ms:crop/corn,cornflower
ms:crop/bell_pepper,bell
ms:crop/strawberry,sweet_berry_bush
ms:vertical/concrete_light_grey,light_gray_concrete
ms:misc/soul_soil_farmland,soul_soil
ms:crop/murky_gourd_stem,melon_stem
ms:crop/attached_murky_gourd_stem,attached_melon_stem
ms:plant/murky_gourd,melon
biomesoplenty:willow_leaves,oak_leaves
ms:slab/concrete_grey,gray_concrete
mcwpaths:oak_planks_path,oak_planks
biomesoplenty:overgrown_black_sand,sand
biomesoplenty:black_sand,sand
ms:berries/raspberry,sweet_berry_bush
ms:berries/blueberry,blue_orchid
ms:berries/blackberry,sweet_berry_bush
ms:berries/gooseberry,sweet_berry_bush
moredecorativeblocks:gray_concrete_door,gray_concrete
ms:crop/lettuce,lilac
pfm:dark_oak_simple_bunk_ladder,ladder
mcwtrpdoors:oak_cottage_trapdoor,oak_trapdoor
floralench:large_double_lily_of_the_valley_pot,potted_lily_of_the_valley
mcwfences:modern_quartz_wall,quartz_bricks
biomesoplenty:palm_log,mangrove_log
floralench:large_sunflower_pot,sunflower
floralench:large_rose_bush_pot,flower_pot
moredecorativeblocks:black_stained_glass_carpet,black_carpet
nekoration:stone_planter,stone
mcwlights:bell_lantern,lantern
biomesoplenty:stripped_magic_log,stripped_jungle_log
biomesoplenty:jacaranda_planks,acacia_planks
biomesoplenty:jacaranda_fence,acacia_fence
mcwlights:bell_wall_lantern,soul_fire_wall_lantern
moa_decor_garden_:tazon_agua_m,water
moa_decor_garden_:tazon_comida_m,cactus
moa_decor_cookery:microondas,jungle_planks
nekoration:cupboard,bookshelf
moa_decor_garden_:cama_m_amarillo,andesite
cfm:spruce_kitchen_counter,spruce_stairs
nekoration:window_sill,pink_stained_glass_pane
moa_decor_cookery:pancortado,cactus
mcwlights:spruce_ceiling_fan_light,light
moa_decor_cookery:cafetera,potted_fern
moa_decor_cookery:soporteinstrumentos,jungle_planks
decoration_mod:trash_can,dispenser
moa_decor_cookery:soportetazas,jungle_planks
biomesoplenty:willow_planks,birch_planks
simplefarming:corn,cornflower
simplefarming:grape_trunk,vine
vinery:red_grape_bush,rose_bush
croptopia:sweetpotato_crop,torchflower_crop
croptopia:oat_crop,wheat
simplefarming:peppers,potted_poppy
croptopia:greenbean_crop,torchflower_crop
nekoration:awning_pure,magenta_concrete
simplefarming:onions,carrots
simplefarming:cassava,potatoes
biomesoplenty:jacaranda_slab,acacia_slab
simplefarming:sorghum,torchflower_crop
simplefarming:soybeans,carrots
simplefarming:cantaloupe,dandelion
simplefarming:attached_cantaloupe_stem,attached_melon_stem
ironchests:diamond_chest,chest
croptopia:mustard_crop,torchflower_crop
croptopia:pepper_crop,pitcher_crop
simplefarming:spinach,carrots
biomesoplenty:magic_log,jungle_log
mcwlights:yellow_lamp,yellow_candle
vintagedelight:ghost_pepper_crop,torchflower_crop
croptopia:chile_pepper_crop,torchflower_crop
simplefarming:lettuce,lilac
croptopia:kale_crop,torchflower_crop
simplefarming:eggplants,melon_stem
simplefarming:zucchinis,potatoes
croptopia:barley_crop,wheat
simplefarming:tomatoes,potatoes
simplefarming:sweet_potatoes,potatoes
valkyrienskies:test_chair,crafting_table
mcwroofs:dark_oak_roof,dark_oak_wood
rechiseled:mangrove_planks_rotated_bricks_connecting,mangrove_planks
byg:stripped_redwood_wood,stripped_jungle_wood
byg:redwood_stairs,spruce_stairs
mcwpaths:stone_running_bond,stone
dustrial_decor:engraved_cast_iron_block,iron_block
chipped:tiny_brick_bordered_stone,stone_bricks
twilightforest:deadrock,dead_fire_coral_block
chipped:orange_terracotta_bricks,orange_terracotta
blue_skies:polished_brumble_bricks,polished_blackstone_bricks
chipped:tiled_bordered_deepslate,deepslate_tiles
createdeco:brass_bars,iron_bars
additional_lights:al_wall_torch_acacia_planks,acacia_planks
untamedwilds:flora_junegrass,seagrass
ravageandcabbage:cabbage_crop,torchflower_crop
mcwpaths:andesite_running_bond,andesite
twilightforest:nagastone_pillar,quartz_pillar
byg:embur_hyphae,crimson_hyphae
chipped:large_diamond_red_stained_glass,red_stained_glass
quark:netherrack_bricks_wall,nether_brick_wall
quark:netherrack_bricks_slab,nether_brick_slab
dustrial_decor:cast_iron_pillar,quartz_pillar
chipped:netherrack_bricks,nether_bricks
quark:netherrack_bricks_stairs,nether_brick_stairs
quark:red_sandstone_bricks_stairs,red_sandstone_stairs
chipped:bordered_red_sandstone,red_sandstone
chipped:bolted_gray_concrete,gray_concrete
additionallanterns:black_basalt_lantern,lantern
createdeco:industrial_iron_trapdoor,iron_trapdoor
elevatorid:elevator_black,black_carpet
quark:red_sandstone_bricks,red_sandstone
chipped:shroomlight_lantern,shroomlight
chipped:tiny_brick_bordered_red_sandstone,red_sandstone
quark:red_sandstone_bricks_slab,red_sandstone_slab
chipped:loded_red_sandstone,red_sandstone
chipped:carved_red_sandstone,red_sandstone
chipped:decorated_orange_terracotta,orange_terracotta
extendedmushrooms:honey_fungus_planks,cherry_planks
biomesoplenty:dead_stairs,jungle_stairs
biomesoplenty:hellbark_fence,jungle_fence
biomesoplenty:stripped_dead_log,stripped_spruce_log
biomesoplenty:stripped_cherry_wood,stripped_cherry_wood
vs_eureka:anchor,respawn_anchor
industrialforegoing:supreme_black_hole_unit,black_candle
tetra:rack,bookshelf
tetra:basic_workbench,smithing_table
elevatorid:elevator_magenta,magenta_carpet
plaingrinder:grinder,grindstone
plaingrinder:handle,lever
mtr:railway_sign_7_even,spruce_wall_sign
mtr:station_color_concrete,light_blue_concrete
mtr:railway_sign_3_even,spruce_wall_sign
mtr:railway_sign_pole,birch_wall_hanging_sign
londonunderground:pids_northern,snow
vinery:stackable_log,jungle_log
biomesoplenty:fir_stairs,spruce_stairs
biomesoplenty:fir_slab,spruce_slab
supplementaries:ash_bricks,bricks
everycomp:af/fruitfulfun/citrus_shutter,lime_stained_glass_pane
fruitfulfun:citrus_door,jungle_door
diagonalwindows:connectedglass/clear_glass_pane,glass_pane
handcrafted:jungle_table,jungle_log
bakery:kitchen_sink,water_cauldron
bakery:strawberry_jam,bamboo
vinery:calendar,pitcher_crop
another_furniture:brown_sofa,brown_carpet
another_furniture:light_gray_curtain,light_gray_carpet
luphieclutteredmod:flower_shelf_plant,flower_pot
bakery:granite_stove,granite
handcrafted:jungle_cupboard,jungle_door
another_furniture:jungle_chair,jungle_wood
herbalbrews:tea_kettle,flower_pot
bakery:bread_crate,light_blue_shulker_box
handcrafted:jungle_nightstand,jungle_wood
luphieclutteredmod:luphie_wall_bookshelf,bookshelf
bakery:sweetberry_cake,cake
cold_sweat:hearth_bottom,bedrock
trashcans:item_trash_can,ancient_debris
